"CONTENTS_SEQ","CONTENTS_TITLE","CONTENTS_SYNOPSIS","CONTENTS_GENRE","AGE_RATING","RELEASE_YEAR","RATING","POSTER_IMG","DIRECTOR","CAST","OTT"
"883","블랙 아담","기원전 가장 번성하고 위대한 고대 국가였지만 현재는 국제 군사 조직 인터갱의 독재 국가로 전락한 칸다크. 인터갱의 눈을 피해 고대 유물을 찾던 아드리아나는 우연히 5000년 동안 잠들어 있던 블랙 아담을 깨우게 된다. 엄청난 괴력과 스피드, 방탄 능력과 자유자재의 고공비행, 번개를 쏘는 능력까지. 온몸이 무기인 블랙 아담은 자신의 앞을 막아서는 인터갱들을 모조리 쓸어버리고 칸다크 국민들은 이에 열광한다. 한편, 그의 폭주를 막기 위해 호크맨, 닥터 페이트, 아톰 스매셔, 사이클론으로 구성된 히어로 군단 저스티스 소사이어티가 칸다크에 나타나는데...","액션, 판타지","12세 이상 관람가","2021","2.8","https://file.kinolights.com/m/content_poster/202307/12/535bd30b-88f5-44b6-a8a5-f5db7e91dc98.webp","자움 콜렛 세라","드웨인 존슨, 노아 센티니오","쿠팡플레이"
"884","블랙 팬서","‘시빌 워’ 이후 와칸다의 왕위를 계승한 티찰라는 와칸다에만 존재하는 최강 희귀 금속 ‘비브라늄’과 왕좌를 노리는 숙적들의 음모가 전세계적인 위협으로 번지자 세상을 구할 히어로 ‘블랙 팬서’로서 피할 수 없는 전쟁에 나서는데…","드라마, 액션","12세 이상 관람가","2018","3.4","https://file.kinolights.com/m/content_poster/202307/12/7f797a86-ec8d-44bf-80e8-ac8da6dbd9be.webp","라이언 쿠글러","채드윅 보스만, 마이클 B. 조던","쿠팡플레이"
"885","블랙 호크 다운","UN 평화유지작전의 일환으로 1993년 동아프리카 소말리아의 수도 모가디슈에 파견된 최정예 미군 부대원들이 소말리아 민병대에 의해 공습당하면서 19명의 사상자를 낸다. 당시 소말리아에는 UN이 제공하는 구호식량을 착취할 목적으로 동포를 굶어 죽이는 민병대장이 전횡을 휘두르고 있었고, UN은 정예부대를 파견해 민병대장의 두 최고 부하를 납치하려다 실패한다. 제목인 ‘블랙 호크 다운’은 소말리아에 파견됐던 무적의 전투기 ‘블랙 호크 슈퍼 16’과 ‘블랙 호크 슈퍼 64’가 소말리아 민병대에 의해 격추당한 것을 뜻하는 말. 제임스 장군은 ""단 한명의 생존자도, 단 한점의 살점도 남기지 말라""고 명령하고 정예대원들은 최후의 순간까지 자존심을 건 전투를 펼치는데...","드라마, 액션","15세 이상 관람가","2001","3.8","https://file.kinolights.com/m/content_poster/202307/12/c4418a34-87f9-42a3-a523-42cac57fb1a3.webp","리들리 스콧","조쉬 하트넷, 이완 맥그리거","왓챠, 쿠팡플레이"
"886","블랙의 50가지 그림자","""블랙씨가 이제 만나시겠답니다.""

순수하지만, 매력은 조금 떨어지는 사회 초년생 '해나'는 아픈 친구를 대신해 잘나가는 흑인 갑부 CEO '크리스찬 블랙'을 인터뷰하게 된다.
섹시 여비서의 경고에도 불구하고 여자라면 빠져들 수밖에 없는 '블랙'의 묘한 마력에 단숨에 매료된 '해나'. 그 역시 신선한 매력의 모태솔로 '해나'에게 호기심을 갖는다.

한편, '해나'는 누가 봐도 완벽남 '블랙'이 어린 시절 연상의 음악 선생님에게 당한 치욕적인 굴욕으로 인해 독특한 성적 취향을 지녔다는 사실을 알게 된다.

'블랙'의 비밀의 방에 입실하게 된 '해나'.
그녀 역시 거부할 수 없는 본능에 서서히 눈을 뜨게 되는데......","코미디","청소년 관람불가","2016","1.1","https://file.kinolights.com/m/content_poster/202307/12/009096c8-735b-4aee-9013-34b9780bd3df.webp","마이클 티데스","말론 웨이언스, 칼리 호크","왓챠"
"887","블러드 다이아몬드","전쟁으로 파괴된 시에라리온에서 다이아몬드 밀수업자가 한 어부에게 접근한다. 어부가 발견한 거대 다이아몬드를 넘기면 가족과 만나게 해 주겠다는데...","드라마, 스릴러","청소년 관람불가","2006","3.6","https://file.kinolights.com/m/content_poster/202307/12/94c8b4f4-0672-4ccf-b06f-9570bb82c278.webp","에드워드 즈윅","레오나르도 디카프리오, 제니퍼 코넬리","넷플릭스, 쿠팡플레이"
"888","블레이드 러너","핵전쟁 이후 혼돈으로 무질서로 휩싸인 2019년, 복제인간 로이를 포함한 ‘넥서스 6’이 오프월드에서 반란을 일으킨 후 지구로 잠입한다. 은퇴한 블레이드 러너였던 데커드는 지구에 잠입한 복제 인간들을 찾는 임무와 함께 강제로 복직하게 되고, 탐문 수사를 위해 찾아간 넥서스 6 제조사인 타이렐 사에서 자신이 복제 인간임을 모르는 레이첼을 마주하게 된다. 한편, 증거의 꼬리를 잡아 수사하던 도중 데커드는 레이첼 덕분에 위기 속에서 목숨을 구원받게 되고, 복제 인간과의 마지막 전투를 앞두게 된다.","드라마, 액션, 스릴러","15세 이상 관람가","1982","4","https://file.kinolights.com/m/content_poster/202307/12/a1d84192-4526-4c5f-9e39-13a54abc69de.webp","리들리 스콧","해리슨 포드, 룻거 하우어","쿠팡플레이"
"889","블레이드 러너 2049","인간과 리플리컨트가 혼재된 2049년. 인간의 통제를 벗어난 리플리컨트를 쫓는 블레이드 러너 K는 임무 수행 도중 약 30년 전 여자 리플리컨트의 유골을 발견하고 충격적으로 출산의 흔적까지 찾아낸다. 리플리컨트가 출산까지 가능하다는 사실이 알려지면 사회에 큰 혼란이 야기되므로 이를 덮으려는 경찰 조직과, 그 비밀의 단서를 찾아내 더욱 완벽한 리플리컨트를 거느리고 세상을 장악하기 위해 K를 쫓는 니안더 월레스. 리플리컨트의 숨겨진 진실에 접근할수록 점차 정체성의 혼란을 겪게 되는 K는 과거 블레이드 러너였던 릭 데커드를 만나 전혀 상상치 못한 진실을 마주하게 되는데..","드라마, 액션, 스릴러","15세 이상 관람가","2017","3.9","https://file.kinolights.com/m/content_poster/202307/12/733f6c96-5c8a-418e-9d41-e9bee69aa024.webp","드니 빌뇌브","라이언 고슬링, 해리슨 포드","왓챠, 쿠팡플레이"
"890","블루 록","""블루 록""세계 제일의 에고이스트가 아니면, 세계 제일의 스트라이커가 될 수 없다. 일본을 월드컵 우승으로 이끌 스트라이커를 육성하기 위해 일본 축구 연맹은 어떤 계획을 내세웠다. 그 이름은 '블루 록(푸른 감옥)' 프로젝트. 그렇게 해서 모인 300명의 고등학생들. 거기에다 모두 FW(포워드) 포지션이었다. 299명의 축구 생명을 희생시켜 탄생할, 일본 축구에 혁명을 불러일으킬 스트라이커는 과연? 지금, 역사상 가장 뜨겁고 정신 나간 축구 애니메이션이 개막한다.","드라마, 애니메이션","15세 이상 시청가","2022","3.6","https://file.kinolights.com/m/content_poster/202308/07/61cd8146-5395-45f9-8b2a-568b932f05d9.webp","와타나베 테츠아키","우라 카즈키, 카이토 타스쿠","넷플릭스, 티빙"
"891","블루 발렌타인","영원한 사랑을 꿈꾸는 의대생 신디. 어느 날 그녀의 앞에 솔직하고 다정한 남자 딘이 나타난다. 자신의 모든 걸 받아주고 안아주는 그에게 사랑을 느낀 신디는 딘과 결혼을 선택하지만 시간이 흐르면서 점점 현실적인 문제들로 지쳐간다.운명적 사랑을 믿는 이삿짐센터 직원 딘. 병원에서 우연히 만난 신디에게 반해버린 그는 그녀에게 안식처 같은 남자가 돼주겠다고 약속한다. 하지만 점점 지쳐가는 그녀의 모습에 그는 사랑을 되찾을 방법을 고민하기 시작하는데…","드라마, 로맨스","청소년 관람불가","2010","3.8","https://file.kinolights.com/m/content_poster/202307/12/dfbe6482-2e0a-4ba1-af7b-b08524977c30.webp","데릭 시엔프랜스","라이언 고슬링, 미셸 윌리엄스","넷플릭스"
"892","블루 자이언트","세계 최고의 재즈 플레이어가 되겠다는 열정과 테너 색소폰만을 가슴에 품고 도쿄로 무작정 상경한 열여덟 소년 다이. 언제나 혼자서만 연습하던 그는 같은 꿈을 지닌 천재 피아니스트 사와베와 초보 드러머 타마다를 만나 밴드 JASS를 결성하고, 일본 최고의 재즈 클럽에서의 공연을 목표로 치열하고 격렬한 무대를 준비한다.","드라마, 애니메이션","12세 이상 관람가","2023","3.7","https://file.kinolights.com/m/content_poster/202409/11/cb6e7c5a-f9f9-4d0a-b61d-665ad05dccfc.webp","타치카와 유즈루","야마다 유키, 마미야 쇼타로","왓챠, 쿠팡플레이"
"893","블루 재스민","NEW YORK 명품을 휘감고 파티를 즐기던 뉴욕 상위 1%의 ‘재스민’!

사업가 ‘할’과의 결혼으로 부와 사랑을 모두 가지게 된 ‘재스민’. 뉴욕 햄튼에 위치한 고급 저택에서 파티를 열고, 맨해튼 5번가에서 명품 쇼핑을 즐기던 상위 1% 그녀의 인생이 산산조각 난다. 바로, ‘할’의 외도를 알게 된 것.

SAN FRANCISCO 모든 것을 잃은 그녀, 화려하지만 우울하다!

결혼생활을 끝내버리고 하루아침에 땡전 한 푼 없는 빈털터리가 된 ‘재스민’은 여동생 ‘진저’에게 신세를 지기 위해 샌프란시스코행 비행기에 오른다. 명품샵 하나 없는 샌프란시스코 차이나타운에서 정반대의 삶을 살게 된 그녀. 모든 것은 낯설기만 하고, ‘진저’와 루저같아 보이는 그녀의 남자친구 ‘칠리'가 불편하다. 인정할 수 없는 현실에 혼잣말은 늘어만 가고 신경안정제마저 더 이상 듣지 않던 어느 날, 그녀는 근사한 외교관 ‘드와이트’를 만나면서 한줄기 희망을 발견하는데…

뉴욕을 떠나 샌프란시스코에서 그녀는 과연 새로운 인생을 찾을 수 있을까?","드라마, 코미디","15세 이상 관람가","2013","3.9","https://file.kinolights.com/m/content_poster/202307/12/8fc7f0ec-00d5-4425-a932-733348961281.webp","우디 앨런","케이트 블란쳇, 알렉 볼드윈","왓챠, 쿠팡플레이, 티빙"
"894","블리치 천년혈전 편","일본의 만화 블리치의 최종장. 본편의 마지막 에피소드 천년혈전 편을 원작으로 하는 TV 애니메이션.","액션, 판타지, 애니메이션","15세 이상 시청가","2022","4.2","https://file.kinolights.com/m/content_poster/202404/19/012d2908-03ac-47cc-bca0-cf259fc98ea8.webp","타구치 토모히사","모리타 마사카즈, 오리카사 후미코","넷플릭스, 티빙"
"895","블리치 천년혈전 편 : 결별담","일본의 만화 블리치의 최종장. 본편의 마지막 에피소드 천년혈전 편을 원작으로 하는 TV 애니메이션.","액션, 판타지, 애니메이션","15세 이상 시청가","2023","3.8","https://file.kinolights.com/m/content_poster/202307/15/2d481023-4245-482b-94d3-7564bba539db.webp","타구치 토모히사","모리타 마사카즈, 오리카사 후미코","넷플릭스, 왓챠, 티빙"
"896","비거 스플래쉬","전설적인 록스타 마리안은 영화감독인 남편 폴과 이탈리아의 작은 섬에서 휴가를 즐기고 있다.
어느날 마리안의 옛 연인인 음반 프로듀서 해리가 뜻하지 않게 딸과 방문하면서
그들의 여유로운 휴가는 방해받는다. 시간이 지날수록 마리안과 해리의 과거가
부상함에 따라 그들의 관계는 질투, 욕망 그리고 위험의 수렁으로 변하게 되는데…","로맨스","청소년 관람불가","2015","3","https://file.kinolights.com/m/content_poster/202307/12/b4c8673e-785b-4329-a93b-dace1ce53e0f.webp","루카 구아다니노","틸다 스윈튼, 랄프 파인즈","왓챠, 쿠팡플레이, 티빙"
"897","비공식작전","1987년, 5년째 중동과를 벗어나지 못하고 있는 외교관 민준. 어느 날 수화기 너머로 20개월 전 레바논에서 실종된 외교관의 암호 메시지가 들려온다. 성공하면 미국 발령이라는 희망찬 포부에 가득 찬 그는 비공식적으로 동료를 구출하는 임무에 자원해 레바논으로 향한다. 공항 도착 직후, 몸값을 노리는 공항 경비대의 총알 세례를 피해 우연히 한국인 택시기사 판수의 차를 타게 된 민준. 갱단까지 돈을 노리고 그를 쫓는 지뢰밭 같은 상황 속, 기댈 곳은 유일한 한국인인 판수 뿐이다. 그런데 돈만 주면 뭐든 하는 수상쩍은 이 인간, 과연 함께 동료를 구할 수 있을까?","드라마, 액션, 스릴러","12세 이상 관람가","2023","3.1","https://file.kinolights.com/m/content_poster/202307/28/5d70ae07-aaa0-44ce-a44c-a86ac94f1588.webp","김성훈","하정우, 주지훈","넷플릭스, 티빙"
"898","비긴 어게인","싱어송라이터인 그레타는 남자친구 데이브가 메이저 음반회사와 계약을 하게 되면서 뉴욕으로 오게 된다. 그러나 행복도 잠시, 오랜 연인이자 음악적 파트너로서 함께 노래를 만들고 부르는 것이 좋았던 그레타와 달리 스타가 된 데이브의 마음은 어느새 변해버린다. 스타 음반프로듀서였지만 이제는 해고된 댄은 미치기 일보직전 들른 뮤직바에서 그레타의 자작곡을 듣게 되고 아직 녹슬지 않은 촉을 살려 음반제작을 제안한다. 거리 밴드를 결성한 그들은 뉴욕의 거리를 스튜디오 삼아 진짜로 부르고 싶었던 노래를 만들어가는데…","드라마, 코미디, 로맨스","15세 이상 관람가","2013","3.8","https://file.kinolights.com/m/content_poster/202408/20/e357fcb8-5d3b-4c93-a172-2789b2698879.webp","존 카니","키이라 나이틀리, 마크 러팔로","왓챠, 쿠팡플레이, 티빙"
"899","비밀","너무나 사랑하는 아내 ‘나오코’, 딸 ‘모나미’와 평범하고 행복한 삶을 살아가던 ‘헤이스케’. 하지만 스키 여행을 떠났던 나오코와 모나미가 불의의 사고를 당하게 되고, 병원 응급실에서 결국 나오코는 숨을 멎게 된다. 하지만 그 순간 나오코의 영혼이 딸인 모나미에게 옮겨가게 되는 믿을 수 없는 일이 벌어지게 된다. 사랑하는 아내가 딸의 육신으로 돌아오게 된 헤이스케, 그리고 딸의 몸을 통해 다시 젊음을 찾게 된 나오코. 아무도 모르는 둘 만의 비밀스러운 생활이 시작하게 되는데…","드라마, 로맨스, 판타지","15세 이상 관람가","1999","3.3","https://file.kinolights.com/m/content_poster/202408/07/4d39d686-5bf0-4edc-a65d-1d036f6d5383.webp","타키타 요지로","히로스에 료코, 코바야시 카오루","왓챠"
"900","비밀은 없다","국회입성을 노리는 신예 정치인 종찬과 그의 아내 연홍. 선거를 보름 앞둔 어느 날, 그들의 딸이 실종 된다. 갑작스럽게 사라진 딸의 행방을 찾기 위해 애를 쓰던 연홍은 딸의 실종에도 불구하고 선거에만 집중하는 종찬과 사건을 제대로 조사하지 않는 사람들에게 분노하고 누구도 믿을 수 없는 상황 속, 홀로 딸의 흔적을 쫓기 시작한다. 하지만 딸이 남긴 단서들을 집요하게 추적하던 연홍은 점차 드러나는 충격적 진실과 맞닥뜨리게 되는데..","스릴러","청소년 관람불가","2015","3.2","https://file.kinolights.com/m/content_poster/202307/12/23efb385-6a5c-4b77-8781-bb5b2f3fa431.webp","이경미","손예진, 김주혁","넷플릭스, 왓챠, 티빙"
"901","비밀의 숲","감정을 느끼지 못하는 외톨이 검사 황시목이, 정의롭고 따뜻한 형사 한여진과 함께 검찰 스폰서 살인사건과 그 이면에 숨겨진 진실을 파헤치는 내부 비밀 추적극.","드라마, 스릴러","15세 이상 시청가","2017","4.4","https://file.kinolights.com/m/content_poster/202307/12/2d6e6be2-ee3c-494b-9abf-6f9da018c9ba.webp","안길호","조승우, 배두나","넷플릭스, 티빙"
"902","비밀의 숲 2","""침묵을 원하는 자, 모두가 공범이다."" 검경수사권 조정 최전선의 대척점에서 다시 만난 고독한 검사 황시목과 행동파 형사 한여진이 은폐된 사건들의 진실로 다가가는 내부 비밀 추적극","드라마","15세 이상 시청가","2020","3.8","https://file.kinolights.com/m/content_poster/202307/12/6d5a8ff5-d1f6-46c7-ae6a-30fb80d13100.webp","박현석","조승우, 배두나","넷플릭스, 티빙"
"903","비바리움","줄거리 : 결혼 후 함께 살 곳을 찾는 톰과 젬마는 부동산 중개인 마틴이 소개해 주는 욘더라는 마을의 9호 집을 소개받는다. 똑같은 집이 모여있는 곳에 도착한 톰과 젬마를 두고 마틴은 사라진다.

1분 정보 : <소셜 네트워크>의 제시 아이젠버그와 <브이 포 벤데타>에서 나탈리 포드만의 아역을 맡은 이모겐 푸츠가 호흡을 맞추어 화제가 되었다. 감독은 이 영화를 통해 딜레마에 직면했을 때 인간은 어떤 행동을 하는지 보고 싶었다고 한다.","드라마, 공포","15세 이상 관람가","2019","3.1","https://file.kinolights.com/m/content_poster/202307/12/42fead94-9c41-4caa-a068-d58487af13dd.webp","로어칸 피네건","이모겐 푸츠, 제시 아이젠버그","왓챠, 쿠팡플레이, 티빙"
"904","비스티 보이즈","대한민국 최고의 럭셔리 신공간 청담동을 주름잡는 호스트. 그들은 화려한 청담동의 유흥업소에서 여성 고객들을 접대하며 자신들의 스타일리쉬한 삶을 유지한다. 여성들에게 초이스되기 위해 체력 관리는 물론 외모와 스타일을 가꾸며 자신에게 투자를 아끼지 않고, BMW를 타고 청담대로를 질주하는 그들의 밤은 낮보다 더욱 역동적이다. 화려한 밤의 세계에 몸 담고 있으면서도 부유했던 과거를 간직한 채 살아가는 청담동 No.1 호스트 승우와 사랑도 꿈도 내일로 미룬 채 오직 지금 이 순간만을 즐기는 호스트 바의 리더 재현. 그들은 오늘도 쿨하고, 폼나고, 화려한 라이프 스타일을 고수하며 럭셔리의 대명사 청담동을 배회한다. 그러던 중 승우는 순수한 듯, 자신과는 또 다른 면을 지닌 지원에게 끌리게 되고, 승우의 누나 한별과 동거하던 재현은 새로운 공사 상대를 만나게 되면서 매일 반복되던 그들의 삶은 조금씩 변화하게 되는데…","드라마","청소년 관람불가","2008","3","https://file.kinolights.com/m/content_poster/202307/12/73735004-f1e9-40a6-b10c-a91d931f5006.webp","윤종빈","하정우, 윤계상","넷플릭스, 왓챠, 쿠팡플레이"
"905","비열한 거리","삼류조폭조직의 2인자 병두. 조직의 보스와 치고 올라오는 후배들 틈에서 제대로 된 기회한번 잡지 못하는 그는, 조직 내에서도 하는 일이라곤 떼인 돈 받아주기 정도인 별볼일 없는 인생이다. 병든 어머니와 두 동생까지 책임져야 하는 그에게 남은 것은 쓰러져가는 철거촌 집 한 채 뿐. 삶의 무게는 스물아홉 병두의 어깨를 무겁게 짓누른다. 어렵사리 따낸 오락실 경영권마저 보스를 대신에 감방에 들어가는 후배에게 뺏긴 병두는 다시 한번 절망에 빠지지만, 그런 그에게도 기회가 온다. 조직의 뒤를 봐주는 황회장이 은밀한 제안을 해온 것. 황회장은 미래를 보장할 테니 자신을 괴롭히는 부장검사를 처리해달라는 부탁을 한다. 병두, 고심 끝에 위험하지만 빠른 길을 선택하기로 한다. 황회장의 손을 잡음으로써 가족들의 생계를 걱정하지 않아도 되게 된 병두는 영화감독이 되어 자신을 자신을 찾아온 동창 민호와의 우정도, 첫사랑 현주와의 사랑도 키워나가며 이제야 인생을 사는 것 같다는 생각을 한다. 그렇게 새로운 삶에 대한 꿈을 키워나가던 어느 날, 병두는 동창 민호에게 그 누구에게도 털어놓지 못했던 속내를 털어놓게 되는데… 민호야, 너는 내 편 맞지?","드라마, 액션","청소년 관람불가","2006","3.5","https://file.kinolights.com/m/content_poster/202307/12/4b84225e-8197-4a9b-9d85-1f93fbd71589.webp","유하","조인성, 천호진","넷플릭스, 왓챠, 쿠팡플레이, 티빙"
"906","비와 당신의 이야기","줄거리 : 꿈도 목표도 없이 삼수 생활 중인 영호는 오랜 기억 속 친구에게 편지를 보낸다. 편지를 받은 소희는 아픈 언니를 대신하여 답장을 보낸다.

1분 정보 : 배우 강소라가 특별출연한다. 2003년과 2011년을 배경으로 하고 있다. 2003년 편지를 통해 전하는 아날로그 감성이 살아있다는 평을 받고 있다.","로맨스","전체 관람가","2020","2.5","https://file.kinolights.com/m/content_poster/202307/12/96bea0ad-d05f-4cf9-96d9-d3b847e9b711.webp","조진모","강하늘, 천우희","넷플릭스, 왓챠"
"907","비질란테","10년간 이어진 남편의 지독한 가정폭력으로 몸과 마음을 다친 세이디.
남은 인생은 자신과 같은 피해자를 구출하는 데 쓰기로 결심하고 잠적을 감춘다. 세이디는 긴 시간 몸을 단련하고 무술을 익혀 비밀스럽게 피해자들의 복수를 대신한다.
하지만 어느 날, 실종된 줄 알았던 남편이 그녀 앞에 다시 나타나는데...

그녀의 뜨거운 복수가 시작된다!","드라마, 스릴러","청소년 관람불가","2018","2.8","https://file.kinolights.com/m/content_poster/202307/12/2d9f35a0-8324-4cea-ae7c-73373d159b1a.webp","사라 대거 닉슨","올리비아 와일드, 모건 스펙터","티빙"
"908","비질랜티 -나의 히어로 아카데미아 ILLEGALS-","코이치 하이마와리는 공식적인 영웅이 되기 위해 예선에 진출하지 못했기 때문에, 겸손한 퀴르크를 이용해 여가 시간에 선행을 베풀었습니다. 그러던 어느 날, 몇몇 지역 깡패들과의 운명적인 만남으로 인해 그는 다른 두 명의 예상치 못한 영웅들과 팀을 이루게 됩니다. 그들 중 누구도 자신들이 무엇을 하고 있는지 잘 모르지만, 그들은 시도할 용기나 어리석음을 가지고 있습니다. 하지만 곧 그들은 악과 싸우는 데 단순히 용감함 이상의 것이 필요하다는 것을 알게 됩니다...","드라마, 액션, 판타지, 애니메이션","15세 이상 시청가","2025","0","https://file.kinolights.com/m/content_poster/202502/26/681fa523-afee-49c9-b222-c45b5ed9cad8.webp","스즈키 켄이치","우메다 슈이치로, 하세가와 이쿠미","왓챠"
"909","비포 미드나잇","18년 전, 비엔나행 기차에서 우연히 만나고 9년 전, 파리에서 재회한 제시와 셀린느. 그리고 지금, 두 사람의 애틋한 사랑은 다시 시작된다. 우리의 사랑이 다시 시작된다! 그리스의 아름다운 해변 마을 카르다밀리, 매일 지겹게 다투고 화해하고, 지난 날의 두근거림은 사라졌지만 그들은 둘만의 사랑을 계속 이어간다. 우리가 사랑한 ‘비포 시리즈’의 마지막 이야기","드라마","청소년 관람불가","2013","3.9","https://file.kinolights.com/m/content_poster/202408/20/1694f54e-cf47-4169-85f5-4b63d16872fa.webp","리처드 링클레이터","에단 호크, 줄리 델피","쿠팡플레이"
"910","비포 선라이즈","오스트리아 빈으로 향하던 기차 안에서 우연히 만난 제시와 셀린. 알 수 없는 감정에 끌린 두 사람은 아무런 일정도 없이 기차에서 하차한다. 그리고 단 하루, 꿈 같은 시간을 보내게 되는데... ""난 우리가 지금 마치 꿈 속에 들어와 있는 것 같아"" 짧은 하루의 우연은 영원이 된다.","드라마, 로맨스","15세 이상 관람가","1995","4","https://file.kinolights.com/m/content_poster/202407/02/fed85f8e-ef04-4cae-969a-873c8046ddeb.webp","리처드 링클레이터","에단 호크, 줄리 델피","넷플릭스, 쿠팡플레이"
"911","비포 선셋","비엔나에서의 꿈같은 하루, 6개월 후의 어긋난 약속. 그리고 9년이 지난 오늘, 파리에서 다시 마주한 제시와 셀린느. 서로 같지만 다른 기억을 간직해 온 두 사람 사이에 묘한 기류가 감돈다. “그날 당신이 내 모든 것을 가져가 버린 것 같아” 그렇게 그 간의 진심을 서로에게 털어놓는 사이, 해는 저물고, 또다시 헤어짐의 순간이 다가오는데…","드라마, 로맨스","15세 이상 관람가","2004","4","https://file.kinolights.com/m/content_poster/202407/19/82a766f4-30ed-4dee-8902-e2cd09b03b1f.webp","리처드 링클레이터","에단 호크, 줄리 델피","넷플릭스, 쿠팡플레이"
"912","비포 위 고","보스턴으로 가는 1시 30분 마지막 열차를 놓친 ‘브룩’(앨리스 이브)과 오디션을 위해 뉴욕에 온 트럼펫 연주자 ‘닉’(크리스 애반스)!
‘닉’은 처음 본 ‘브룩’이 시간 안에 보스턴으로 갈 수 있도록 도와주려 하지만 일은 계속 꼬이기만 하는데…

뉴욕에서의 단 하룻밤!
그 곳에서 운명적인 사랑을 만나다!","코미디, 로맨스","15세 이상 관람가","2014","3","https://file.kinolights.com/m/content_poster/202307/12/aea4d4a6-3bd4-45af-ab54-ee4237e9b871.webp","크리스 에반스","크리스 에반스, 앨리스 이브","왓챠"
"913","빅 리틀 라이즈 시즌 1","주부들의 평화로운 일상을 뒤흔드는 충격적인 사건, 이로 인해 드러나는 더 놀라운 진실. 평범한 주부들이 살인 사건에 연루되면서 벌어지는 이야기","드라마","15세 이상 시청가","2017","4.2","https://file.kinolights.com/m/content_poster/202307/12/9342b51d-151f-4ac4-a6ce-ff72da97d549.webp","장 마크 발레","니콜 키드먼, 리즈 위더스푼","쿠팡플레이"
"914","빅 리틀 라이즈 시즌 2","주부들의 평화로운 일상을 뒤흔드는 충격적인 사건, 이로 인해 드러나는 더 놀라운 진실. 평범한 주부들이 살인 사건에 연루되면서 벌어지는 이야기","드라마","15세 이상 시청가","2019","4.2","https://file.kinolights.com/m/content_poster/202307/12/de2e2f3b-7c2e-4968-83ce-d6ef9d0a5e45.webp","데이비드 E. 켈리","리즈 위더스푼, 조 크라비츠","쿠팡플레이"
"915","빅 팻 라이어","명랑한 거짓말... 불후의 명작이 되는 그날까지! | 진실 지수 0% 영악한 혼성 듀엣의 헐리웃 뒤집기 | <우리 방금 결혼했어> 숀 레비 감독의 두번째 웃음 제안, 쿨~한 악동 코미디
분주한 아침, 제이슨 셰퍼드는 아직 눈도 뜨지 않은 채 밥도 먹고 숙제도 다 챙겼다는 거짓말로 하루를 시작한다. 또래보다 작은 체구로 거짓말에 있어 천부적인 재능을 가진 14살 소년 제이슨. 등교길에 불량배를 만나 지각하게 된 제이슨은 절친한 여자 친구 카일리에게 수업 중에 창문을 열어달라는 문자메시지를 보내고, 카일리는 선생님의 시선을 잠시 돌리는데... 그만 현장을 들킨 제이슨, 작문숙제를 제출하라는 선생님의 엄명에 제이슨의 천재적인 거짓말 능력이 발휘되기 시작한다.
거짓말에 있어 타의 추종을 불허하는 제이슨 셰퍼드. 뛰어난 임기응변과 성대모사로 숙제를 못한 위기를 넘기는가 싶었지만, 곧 거짓말은 들통나고 만다. 낙제를 면하기 위해 제이슨은 천재적인 머리를 굴려 순식간에 '크고, 거대한 거짓말쟁이'에 관한 작문을 쓰게 된다. 숙제를 제출하기 위해 급하게 가던 제이슨은 헐리우드의 잘 나가는 제작자 마티 울프의 차를 얻어 타게 되는데, 그만 숙제를 차에 두고 내리는 실수를 저지른다. 몇 개월 뒤, 썸머스쿨을 듣고 있던 제이슨은 TV를 통해 자신의 잃어버린 숙제가 마티 울프에 의해 영화화 되고 있다는 사실을 알고 부모님께 말하지만, 부모님에게도 신임을 잃은 제이슨은 자신의 결백을 밝히기로 다짐한다.
헐리우드의 잘나가는 영화 제작자 마티 울프는 악랄하고 성격 나쁜 제작자로 유명한 인물. 우연히 만난 제이슨의 숙제에서 영감을 얻은 마티는 그의 아이디어를 도용한 영화로 주목 받게 된다. 하지만 숙제를 돌려주기는커녕 자신의 결백을 증명해달라는 제이슨의 부탁마저 거절하면서 그의 인생에는 거대한 태클이 걸리게 되는데... 제이슨의 주도면밀한 계획으로 단계별 복수 작전에 휘말린 마티는 녹색 괴물로 변신하고 사고를 당하는 등 끝도 없이 절망의 나락으로 떨어지게 된다. 그럼에도 불구하고 전혀 뉘우칠줄 모르는 이 골리앗 같은 악당에게 제이슨은 최후의 일격을 가할 준비에 들어간다.","코미디","12세 이상 관람가","2002","3.3","https://file.kinolights.com/m/content_poster/202307/12/7e47eb5f-c239-4061-ab1c-f05813e421aa.webp","숀 레비","프랭키 무니즈, 폴 지아마티","넷플릭스"
"916","빅 피쉬","줄거리 : 아버지가 위독하다는 이야기를 듣고 윌은 고향으로 간다. 죽음을 눈앞에 둔 상황에도 아버지는 윌에게 허풍 가득한 이야기를 들려주고 윌은 그 이야기 속에 진실이 있다는 사실을 깨닫게 된다.

1분 정보 : 대니얼 월리스의 동명 소설을 원작으로 하고 있다. 명장면 중 하나인 수선화 꽃밭 러브씬은 실제로 1만 송이의 수선화가 피어있는 꽃밭에서 촬영을 했다고 한다. 팀 버튼 감독의 다른 영화들과는 달리 따뜻한 느낌을 주는 영화다.","드라마, 코미디, 판타지","12세 이상 관람가","2003","4","https://file.kinolights.com/m/content_poster/202307/12/78b76772-1b70-49b3-8d56-3dbe330c4524.webp","팀 버튼","이완 맥그리거, 알버트 피니","왓챠, 쿠팡플레이"
